date,t_2m,absolute_humidity_2m,dew_point_2m,since,city_id
2022-09-15 03:00:00.000 +0300,22.1,13.7,16.5,2022-09-15 14:01:53.301 +0300,0
2022-09-15 04:00:00.000 +0300,22.7,12.9,15.5,2022-09-15 14:01:53.301 +0300,0
2022-09-15 05:00:00.000 +0300,22.8,12.7,15.3,2022-09-15 14:01:53.301 +0300,0
2022-09-15 06:00:00.000 +0300,20.9,15.1,17.9,2022-09-15 14:01:53.301 +0300,0
2022-09-15 07:00:00.000 +0300,20.3,15,17.8,2022-09-15 14:01:53.301 +0300,0
2022-09-15 08:00:00.000 +0300,20,15,17.7,2022-09-15 14:01:53.301 +0300,0
2022-09-15 09:00:00.000 +0300,20.9,14.7,17.5,2022-09-15 14:01:53.301 +0300,0
2022-09-15 10:00:00.000 +0300,22.2,15.3,18.2,2022-09-15 14:01:53.301 +0300,0
2022-09-15 11:00:00.000 +0300,24.5,16.1,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-15 12:00:00.000 +0300,25.8,16.9,19.9,2022-09-15 14:01:53.301 +0300,0
2022-09-15 13:00:00.000 +0300,25.6,16.7,19.8,2022-09-15 14:01:53.301 +0300,0
2022-09-15 14:00:00.000 +0300,27.5,17.9,21,2022-09-15 14:01:53.301 +0300,0
2022-09-15 15:00:00.000 +0300,27.7,18,21.1,2022-09-15 14:01:53.301 +0300,0
2022-09-15 16:00:00.000 +0300,27.9,18.2,21.3,2022-09-15 14:01:53.301 +0300,0
2022-09-15 17:00:00.000 +0300,27.6,18.2,21.2,2022-09-15 14:01:53.301 +0300,0
2022-09-15 18:00:00.000 +0300,26.7,18.7,21.7,2022-09-15 14:01:53.301 +0300,0
2022-09-15 19:00:00.000 +0300,26.3,19.5,22.3,2022-09-15 14:01:53.301 +0300,0
2022-09-15 20:00:00.000 +0300,25.1,19.4,22.1,2022-09-15 14:01:53.301 +0300,0
2022-09-15 21:00:00.000 +0300,23,19.1,21.8,2022-09-15 14:01:53.301 +0300,0
2022-09-15 22:00:00.000 +0300,23,19.4,22.1,2022-09-15 14:01:53.301 +0300,0
2022-09-15 23:00:00.000 +0300,22.2,19.1,21.8,2022-09-15 14:01:53.301 +0300,0
2022-09-16 00:00:00.000 +0300,21.4,18.2,20.9,2022-09-15 14:01:53.301 +0300,0
2022-09-16 01:00:00.000 +0300,19.6,16.4,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-16 02:00:00.000 +0300,19.1,16.2,18.9,2022-09-15 14:01:53.301 +0300,0
2022-09-16 03:00:00.000 +0300,20.8,15.8,18.6,2022-09-15 14:01:53.301 +0300,0
2022-09-16 04:00:00.000 +0300,20.7,15.4,18.2,2022-09-15 14:01:53.301 +0300,0
2022-09-16 05:00:00.000 +0300,20,15.8,18.6,2022-09-15 14:01:53.301 +0300,0
2022-09-16 06:00:00.000 +0300,19.6,15.8,18.6,2022-09-15 14:01:53.301 +0300,0
2022-09-16 07:00:00.000 +0300,19.5,15.7,18.4,2022-09-15 14:01:53.301 +0300,0
2022-09-16 08:00:00.000 +0300,20,15.3,18,2022-09-15 14:01:53.301 +0300,0
2022-09-16 09:00:00.000 +0300,21.4,15.7,18.5,2022-09-15 14:01:53.301 +0300,0
2022-09-16 10:00:00.000 +0300,23.6,16.1,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-16 11:00:00.000 +0300,25.1,16.3,19.3,2022-09-15 14:01:53.301 +0300,0
2022-09-16 12:00:00.000 +0300,26.1,17,20,2022-09-15 14:01:53.301 +0300,0
2022-09-16 13:00:00.000 +0300,27.2,16.4,19.6,2022-09-15 14:01:53.301 +0300,0
2022-09-16 14:00:00.000 +0300,28.1,15.6,18.8,2022-09-15 14:01:53.301 +0300,0
2022-09-16 15:00:00.000 +0300,27.9,15.5,18.7,2022-09-15 14:01:53.301 +0300,0
2022-09-16 16:00:00.000 +0300,27.5,15.9,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-16 17:00:00.000 +0300,27.1,15.5,18.6,2022-09-15 14:01:53.301 +0300,0
2022-09-16 18:00:00.000 +0300,26.6,15.9,19,2022-09-15 14:01:53.301 +0300,0
2022-09-16 19:00:00.000 +0300,25.7,16.2,19.3,2022-09-15 14:01:53.301 +0300,0
2022-09-16 20:00:00.000 +0300,24.3,16.3,19.3,2022-09-15 14:01:53.301 +0300,0
2022-09-16 21:00:00.000 +0300,22.9,16.4,19.3,2022-09-15 14:01:53.301 +0300,0
2022-09-16 22:00:00.000 +0300,22.8,16.2,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-16 23:00:00.000 +0300,22.8,16.2,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-17 00:00:00.000 +0300,22.3,16.2,19.1,2022-09-15 14:01:53.301 +0300,0
2022-09-17 01:00:00.000 +0300,21.8,16.3,19.2,2022-09-15 14:01:53.301 +0300,0
2022-09-17 02:00:00.000 +0300,21.5,16,18.8,2022-09-15 14:01:53.301 +0300,0
2022-09-17 03:00:00.000 +0300,21.3,15.9,18.8,2022-09-15 14:01:53.301 +0300,0
2022-09-17 04:00:00.000 +0300,21.2,15.7,18.5,2022-09-15 14:01:53.301 +0300,0
2022-09-17 05:00:00.000 +0300,21.2,15.5,18.3,2022-09-15 14:01:53.301 +0300,0
2022-09-17 06:00:00.000 +0300,21.1,15.2,18,2022-09-15 14:01:53.301 +0300,0
2022-09-17 07:00:00.000 +0300,21.5,15,17.8,2022-09-15 14:01:53.301 +0300,0
2022-09-17 08:00:00.000 +0300,22.4,14.7,17.6,2022-09-15 14:01:53.301 +0300,0
2022-09-17 09:00:00.000 +0300,23,14.5,17.4,2022-09-15 14:01:53.301 +0300,0
2022-09-17 10:00:00.000 +0300,24.1,14.2,17.1,2022-09-15 14:01:53.301 +0300,0
2022-09-17 11:00:00.000 +0300,25.1,13.9,16.8,2022-09-15 14:01:53.301 +0300,0
2022-09-17 12:00:00.000 +0300,26.1,13.6,16.5,2022-09-15 14:01:53.301 +0300,0
2022-09-17 13:00:00.000 +0300,26.2,13.5,16.4,2022-09-15 14:01:53.301 +0300,0
2022-09-17 14:00:00.000 +0300,26.3,13.3,16.2,2022-09-15 14:01:53.301 +0300,0
2022-09-17 15:00:00.000 +0300,26.3,13.2,16.1,2022-09-15 14:01:53.301 +0300,0
2022-09-17 16:00:00.000 +0300,24.4,12.2,14.7,2022-09-15 14:01:53.301 +0300,0
2022-09-17 17:00:00.000 +0300,22.4,11.2,13.3,2022-09-15 14:01:53.301 +0300,0
2022-09-17 18:00:00.000 +0300,20.4,10.3,12,2022-09-15 14:01:53.301 +0300,0
2022-09-17 19:00:00.000 +0300,18.9,9.6,10.8,2022-09-15 14:01:53.301 +0300,0
2022-09-17 20:00:00.000 +0300,17.4,9,9.7,2022-09-15 14:01:53.301 +0300,0
2022-09-17 21:00:00.000 +0300,15.7,8.4,8.6,2022-09-15 14:01:53.301 +0300,0
2022-09-17 22:00:00.000 +0300,15,8.2,8.2,2022-09-15 14:01:53.301 +0300,0
2022-09-17 23:00:00.000 +0300,14.5,7.9,7.7,2022-09-15 14:01:53.301 +0300,0
2022-09-18 00:00:00.000 +0300,14,7.7,7.3,2022-09-15 14:01:53.301 +0300,0
2022-09-18 01:00:00.000 +0300,13.5,7.7,7.2,2022-09-15 14:01:53.301 +0300,0
2022-09-18 02:00:00.000 +0300,13,7.6,7.1,2022-09-15 14:01:53.301 +0300,0
2022-09-18 03:00:00.000 +0300,12.5,7.6,7,2022-09-15 14:01:53.301 +0300,0
2022-09-18 04:00:00.000 +0300,12,7.5,6.8,2022-09-15 14:01:53.301 +0300,0
2022-09-18 05:00:00.000 +0300,11.6,7.4,6.6,2022-09-15 14:01:53.301 +0300,0
2022-09-18 06:00:00.000 +0300,11.2,7.3,6.4,2022-09-15 14:01:53.301 +0300,0
2022-09-18 07:00:00.000 +0300,11.2,7.4,6.6,2022-09-15 14:01:53.301 +0300,0
2022-09-18 08:00:00.000 +0300,11.8,7.5,6.7,2022-09-15 14:01:53.301 +0300,0
2022-09-18 09:00:00.000 +0300,12.1,7.6,6.9,2022-09-15 14:01:53.301 +0300,0
2022-09-18 10:00:00.000 +0300,14.9,7.7,7.2,2022-09-15 14:01:53.301 +0300,0
2022-09-18 11:00:00.000 +0300,17.6,7.8,7.6,2022-09-15 14:01:53.301 +0300,0
2022-09-18 12:00:00.000 +0300,20.4,7.9,7.9,2022-09-15 14:01:53.301 +0300,0
2022-09-18 13:00:00.000 +0300,22.1,7.3,6.8,2022-09-15 14:01:53.301 +0300,0
2022-09-18 14:00:00.000 +0300,23.7,6.7,5.7,2022-09-15 14:01:53.301 +0300,0
2022-09-18 15:00:00.000 +0300,25.2,6.2,4.7,2022-09-15 14:01:53.301 +0300,0
2022-09-18 16:00:00.000 +0300,24.7,6.7,5.9,2022-09-15 14:01:53.301 +0300,0
2022-09-18 17:00:00.000 +0300,24.1,7.3,7.1,2022-09-15 14:01:53.301 +0300,0
2022-09-18 18:00:00.000 +0300,23.5,8,8.3,2022-09-15 14:01:53.301 +0300,0
2022-09-18 19:00:00.000 +0300,21.5,8.6,9.3,2022-09-15 14:01:53.301 +0300,0
